Sample,Sim_Id,AgeBin,Gender,Prevalence,Prevalence-Provincial-all--Beta-alpha,Prevalence-Provincial-all--Beta-beta,Province,Result,Year,weight
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,0.0,1.0,62.524271634637,Central,0.0,2002.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,22.1462537,6735.532326189514,-6429.43880240813,Central,0.0,2007.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,14.8,12999.529815923874,-12119.250774307397,Central,0.0,2014.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,22.1,1045.2077634619018,-995.9585433957524,Copperbelt,0.290519877675841,2002.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,21.5884494,6384.415684735318,-6086.729062391088,Copperbelt,0.2673656618610747,2007.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,20.0,14663.62260272806,-13928.491472591657,Copperbelt,0.2605997931747673,2014.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,16.1,1132.6475290731323,-1060.3588626710743,Eastern,0.0,2002.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,11.370672099999998,3484.782471235827,-3176.3993093085887,Eastern,0.0,2007.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,10.9,11324.197268020245,-10283.371830587195,Eastern,0.0,2014.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,13.3,1027.6077634619016,-948.4192098181496,Luapula,0.0,2002.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,11.5189037,3651.8808832667964,-3332.9339776974066,Luapula,0.0,2007.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,12.1,9041.326456647197,-8292.192038742469,Luapula,0.0,2014.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,25.0,1051.0077634619024,-1007.0074529234264,Lusaka,0.0010834236186348864,2002.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,22.397826300000002,5850.611883235692,-5587.443151730899,Lusaka,0.0018115942028985507,2007.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,19.4,11814.396538880941,-11203.458572959244,Lusaka,0.0,2014.5,1.0
20,0fec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,6.809329300000001,1106.3673413346016,-942.0360319449087,Muchinga,0.0,2007.5,1.0
